Month_Year,Region,Crop,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Texture,Soil_Saturation_pct,Land_Size_acres,Past_Yield_tons_acre,Suitable_Crop
02-2022,Rift Valley,Potatoes,27.27,26.71,56.21,6.44,Sandy Loam,49.7,8.27,2.506,Tea
02-2022,Rift Valley,Potatoes,72.2,16.9,64.56,4.66,Clay Loam,66.2,1.27,2.068,Tea
02-2022,Rift Valley,Potatoes,70.08,24.22,54.73,6.1,Volcanic,60.4,1.7,1.918,Tea
02-2022,Rift Valley,Beans,0.0,22.28,60.14,5.78,Loam,47.3,7.86,0.242,Maize
02-2022,Rift Valley,Maize,35.09,20.39,48.24,5.88,Volcanic,55.0,0.53,1.21,Tea
02-2022,Rift Valley,Potatoes,84.23,21.07,52.36,6.13,Volcanic,60.0,7.21,2.061,Tea
02-2022,Rift Valley,Maize,17.86,18.37,55.35,5.52,Volcanic,51.1,3.71,0.406,Tea
02-2022,Rift Valley,Millet,49.75,17.64,80.86,5.21,Sandy Loam,47.5,4.17,0.203,Tea
02-2022,Rift Valley,Maize,55.23,20.04,62.08,6.19,Sandy Loam,39.9,1.21,1.972,Tea
02-2022,Rift Valley,Beans,0.0,17.16,42.19,5.7,Clay Loam,67.7,3.7,0.161,Potatoes
02-2022,Rift Valley,Maize,0.0,22.55,66.37,5.72,Volcanic,59.1,2.06,0.914,Maize
02-2022,Rift Valley,Potatoes,63.3,20.76,73.38,6.09,Sandy Loam,38.7,9.22,4.675,Tea
02-2022,Rift Valley,Wheat,2.44,16.11,56.1,5.52,Loam,40.6,2.02,1.036,Potatoes
02-2022,Rift Valley,Beans,57.55,21.01,69.15,5.91,Loam,42.8,9.17,0.728,Tea
02-2022,Rift Valley,Maize,55.73,18.57,68.57,5.73,Volcanic,53.5,4.92,1.004,Tea
02-2022,Rift Valley,Maize,0.0,25.99,72.17,4.88,Loam,40.2,3.21,0.939,Millet
02-2022,Rift Valley,Tea,7.8,20.89,67.51,6.81,Clay Loam,64.3,3.2,1.401,Tea
02-2022,Rift Valley,Wheat,12.51,19.74,74.98,5.72,Loam,56.1,0.69,0.507,Tea
02-2022,Rift Valley,Potatoes,50.74,16.05,69.81,5.52,Loam,44.0,4.52,4.907,Tea
02-2022,Rift Valley,Wheat,55.38,23.48,53.06,6.25,Volcanic,57.5,6.77,1.674,Tea
02-2022,Rift Valley,Maize,66.9,19.01,72.32,6.85,Volcanic,67.5,9.71,0.907,Tea
02-2022,Nyanza,Maize,131.54,22.58,95.34,6.33,Sandy Loam,43.6,1.28,1.15,Maize
02-2022,Nyanza,Beans,47.58,21.16,61.35,6.16,Sandy Loam,44.7,7.24,0.822,Maize
02-2022,Nyanza,Maize,17.55,23.37,79.56,5.51,Clay,80.3,9.86,0.438,Maize
02-2022,Nyanza,Beans,63.05,24.36,79.56,5.75,Sandy Loam,26.7,5.08,1.094,Maize
02-2022,Nyanza,Millet,53.04,20.43,70.05,6.14,Clay Loam,61.5,9.85,0.389,Maize
02-2022,Nyanza,Beans,71.46,20.41,77.36,5.83,Clay,82.0,4.24,1.033,Maize
02-2022,Nyanza,Maize,99.73,22.55,83.99,5.53,Sandy Loam,56.3,3.39,2.009,Maize
02-2022,Nyanza,Maize,117.33,22.3,67.53,5.66,Sandy Loam,30.2,2.57,0.808,Maize
02-2022,Nyanza,Maize,28.92,20.32,78.56,5.89,Clay Loam,68.5,5.1,1.603,Maize
02-2022,Nyanza,Maize,67.52,19.87,84.29,5.63,Sandy Loam,31.9,6.86,1.186,Maize
02-2022,Nyanza,Beans,88.17,21.81,74.52,5.11,Sandy Loam,35.1,0.65,1.021,Maize
02-2022,Nyanza,Maize,32.33,22.06,72.98,5.81,Clay Loam,75.7,3.65,1.551,Maize
02-2022,Nyanza,Beans,83.33,20.59,87.06,5.59,Sandy Loam,48.0,2.01,0.593,Maize
02-2022,Nyanza,Beans,32.33,21.94,70.04,5.24,Clay,83.9,5.39,0.387,Maize
02-2022,Nyanza,Maize,64.8,24.45,71.69,6.4,Sandy Loam,47.8,7.09,1.633,Maize
02-2022,Nyanza,Millet,19.05,19.53,76.06,6.95,Sandy Loam,45.0,5.43,0.225,Maize
02-2022,Nyanza,Millet,36.6,21.72,76.39,5.75,Clay Loam,58.6,3.12,0.327,Maize
02-2022,Nyanza,Millet,106.33,23.17,76.52,6.98,Sandy Loam,51.7,1.49,0.757,Maize
02-2022,Nyanza,Beans,40.14,24.77,70.06,6.0,Clay Loam,63.4,8.0,0.736,Maize
02-2022,Nyanza,Maize,84.81,24.42,72.44,6.28,Clay,86.4,2.46,1.432,Maize
02-2022,Nyanza,Maize,82.28,23.32,71.25,5.71,Sandy Loam,36.8,1.7,1.814,Maize
02-2022,Nyanza,Millet,101.76,22.7,77.75,5.01,Clay Loam,70.5,7.63,0.581,Maize
02-2022,Nyanza,Beans,85.09,22.25,82.94,5.24,Sandy Loam,28.5,8.52,0.641,Maize
02-2022,Nyanza,Millet,98.57,21.46,61.29,6.15,Clay,85.8,4.74,0.774,Maize
02-2022,Nyanza,Maize,14.77,21.26,67.9,5.34,Sandy Loam,37.0,1.11,1.47,Maize
02-2022,Nyanza,Beans,83.29,22.73,80.56,5.74,Clay,88.0,0.83,0.645,Maize
02-2022,Nyanza,Beans,45.06,22.87,71.74,4.47,Sandy Loam,36.8,8.29,0.883,Maize
02-2022,Nyanza,Beans,77.14,21.5,80.71,6.09,Clay,94.0,7.23,1.095,Maize
02-2022,Nyanza,Maize,22.27,24.13,57.68,5.87,Clay,78.5,6.08,1.368,Maize
02-2022,Nyanza,Maize,0.68,20.91,71.09,5.06,Clay,71.6,8.68,1.426,Maize
02-2022,Nyanza,Beans,26.64,27.08,79.04,6.3,Clay,79.0,1.95,0.687,Maize
02-2022,Nyanza,Maize,113.77,22.0,79.92,4.93,Clay Loam,71.3,1.42,2.114,Maize
02-2022,Nyanza,Maize,80.86,22.1,74.82,6.18,Sandy Loam,54.3,4.17,1.598,Maize
02-2022,Western,Beans,114.74,20.76,87.2,5.66,Clay Loam,57.9,3.46,1.22,Tea
02-2022,Western,Maize,20.43,21.16,89.41,6.53,Clay Loam,79.1,5.1,1.039,Tea
02-2022,Western,Maize,103.24,20.95,70.51,6.19,Sandy Loam,39.6,4.39,1.23,Tea
02-2022,Western,Millet,72.56,26.13,78.36,6.07,Loam,50.8,6.78,0.838,Tea
02-2022,Western,Tea,47.73,19.25,73.92,5.65,Clay Loam,66.5,6.75,2.852,Tea
02-2022,Western,Beans,0.0,20.42,84.96,5.53,Clay Loam,68.3,9.97,0.319,Beans
02-2022,Western,Beans,134.66,18.56,86.3,5.84,Clay Loam,70.9,2.19,1.168,Tea
02-2022,Western,Maize,141.68,23.1,85.14,6.42,Clay Loam,70.3,7.32,2.323,Tea
02-2022,Western,Millet,95.56,23.88,97.37,6.02,Clay Loam,72.1,1.31,1.258,Tea
02-2022,Western,Millet,0.0,20.19,69.14,5.79,Clay Loam,69.8,3.18,0.075,Beans
02-2022,Western,Beans,54.45,22.16,81.12,6.53,Loam,52.4,9.89,0.795,Tea
02-2022,Western,Tea,56.72,23.49,63.67,5.71,Loam,50.5,0.57,1.645,Tea
02-2022,Western,Beans,87.62,21.8,70.98,6.18,Sandy Loam,41.1,3.84,1.143,Tea
02-2022,Western,Beans,61.8,22.31,87.14,5.45,Loam,60.7,7.3,1.119,Tea
02-2022,Western,Maize,118.84,21.88,68.53,5.92,Clay Loam,70.5,8.51,1.554,Tea
02-2022,Western,Beans,15.65,21.91,81.07,6.06,Sandy Loam,31.9,6.56,0.509,Tea
02-2022,Western,Beans,116.46,20.22,75.69,5.43,Loam,57.4,1.02,1.118,Tea
02-2022,Western,Maize,55.58,22.01,79.79,5.91,Sandy Loam,26.2,3.81,1.809,Tea
02-2022,Western,Maize,85.73,23.64,78.72,6.11,Sandy Loam,44.6,5.98,2.037,Tea
02-2022,Western,Millet,83.16,21.99,64.47,5.52,Loam,40.2,4.58,0.678,Tea
02-2022,Western,Maize,25.47,18.69,71.86,6.33,Loam,42.6,0.77,1.628,Tea
02-2022,Western,Maize,5.36,23.9,67.28,5.63,Loam,59.6,8.78,1.312,Maize
02-2022,Western,Beans,66.36,20.12,70.12,5.6,Loam,51.9,7.84,0.843,Tea
02-2022,Western,Beans,29.18,21.34,84.41,5.05,Loam,55.7,0.79,0.618,Tea
02-2022,Western,Maize,60.61,21.04,85.51,5.22,Loam,64.5,7.35,2.043,Tea
02-2022,Western,Beans,132.55,22.84,92.87,5.77,Clay Loam,68.9,1.37,1.249,Tea
02-2022,Western,Millet,30.41,22.34,66.33,5.99,Loam,47.6,2.45,0.594,Tea
02-2022,Western,Maize,82.69,18.15,84.74,5.69,Loam,61.7,9.81,0.859,Tea
02-2022,Western,Maize,55.23,23.62,82.79,5.34,Loam,52.6,8.61,1.01,Tea
02-2022,Western,Maize,164.05,20.63,89.89,6.32,Loam,46.5,4.56,1.509,Tea
02-2022,Western,Maize,64.97,22.02,77.84,6.26,Loam,49.2,2.51,1.22,Tea
02-2022,Western,Beans,98.46,20.91,72.16,5.79,Sandy Loam,33.9,7.49,0.871,Tea
02-2022,Western,Tea,30.24,23.41,75.99,5.97,Sandy Loam,36.8,2.69,3.175,Tea
02-2022,Eastern,Maize,0.0,23.17,33.56,6.69,Sandy,22.8,8.19,1.067,Maize
02-2022,Eastern,Maize,17.94,27.87,49.89,6.71,Loam,49.8,0.61,1.293,Maize
02-2022,Eastern,Millet,21.62,32.49,39.24,7.01,Loam,32.0,7.95,0.05,Maize
02-2022,Eastern,Beans,41.16,23.92,39.86,6.48,Loam,49.3,8.3,0.626,Maize
02-2022,Eastern,Maize,0.33,24.78,61.34,6.15,Sandy,18.1,6.82,1.246,Maize
02-2022,Eastern,Beans,82.76,23.18,43.72,5.85,Sandy,26.5,7.41,0.876,Maize
02-2022,Eastern,Maize,37.24,27.89,54.77,6.66,Sandy,24.6,2.52,1.404,Maize
02-2022,Eastern,Maize,129.29,28.77,45.15,6.7,Sandy Loam,47.3,0.73,1.369,Maize
02-2022,Eastern,Beans,29.12,28.95,39.28,7.61,Loam,36.1,8.32,0.461,Maize
02-2022,Eastern,Beans,14.73,26.05,36.53,5.23,Sandy,16.0,7.83,0.05,Maize
02-2022,Eastern,Beans,7.31,22.27,50.01,6.72,Sandy,22.3,5.85,0.217,Maize
02-2022,Eastern,Maize,24.21,21.05,38.05,6.39,Loam,54.9,7.9,1.382,Maize
02-2022,Eastern,Beans,58.95,26.01,49.5,6.37,Loam,41.4,6.42,0.696,Maize
02-2022,Eastern,Beans,24.28,26.6,55.93,7.3,Sandy Loam,33.2,9.25,0.179,Maize
02-2022,Eastern,Millet,26.03,28.13,46.7,6.14,Sandy,37.3,7.8,0.711,Maize
02-2022,Eastern,Millet,0.0,24.67,49.55,7.9,Sandy,17.9,9.02,0.05,Maize
02-2022,Eastern,Maize,30.81,21.83,58.96,6.77,Sandy,31.0,9.46,1.177,Maize
02-2022,Eastern,Maize,41.51,24.54,55.57,6.52,Loam,46.6,6.0,1.62,Maize
02-2022,Eastern,Beans,0.89,29.67,48.69,6.81,Sandy Loam,44.6,6.96,0.424,Millet
02-2022,Eastern,Maize,49.99,26.4,42.82,6.43,Sandy,23.3,7.8,1.261,Maize
02-2022,Eastern,Millet,44.53,27.72,44.71,6.7,Sandy Loam,50.9,8.61,0.407,Maize
02-2022,Eastern,Maize,58.52,22.73,47.17,6.09,Sandy Loam,43.9,2.99,1.582,Maize
02-2022,Eastern,Beans,15.3,23.47,33.2,5.93,Sandy Loam,24.5,3.35,0.156,Maize
02-2022,Eastern,Beans,15.74,27.86,47.06,6.54,Sandy,17.4,3.36,0.492,Maize
02-2022,Eastern,Millet,0.0,27.51,57.28,6.96,Sandy,16.8,4.26,0.087,Millet
02-2022,Eastern,Millet,19.1,22.04,39.85,5.87,Loam,59.2,8.15,0.556,Maize
02-2022,Eastern,Millet,69.45,26.56,44.3,6.24,Sandy Loam,46.0,6.52,0.768,Maize
02-2022,Eastern,Maize,36.64,22.71,55.63,6.48,Sandy,31.8,3.46,1.027,Maize
02-2022,Eastern,Maize,0.2,25.89,57.6,6.8,Sandy Loam,45.2,9.84,0.498,Millet
02-2022,Eastern,Millet,25.23,22.41,55.5,6.8,Loam,51.0,7.58,0.361,Maize
02-2022,Eastern,Maize,53.79,23.23,57.85,6.99,Sandy,35.5,1.34,1.884,Maize
02-2022,Eastern,Beans,0.0,18.32,54.76,6.64,Loam,44.2,0.97,0.552,Beans
02-2022,Eastern,Maize,23.93,26.91,47.51,6.57,Sandy Loam,41.8,3.07,0.644,Maize
02-2022,Coastal,Millet,47.66,29.23,83.01,4.93,Sandy,35.4,6.08,0.752,Maize
02-2022,Coastal,Maize,0.0,30.07,78.78,5.89,Sandy Loam,47.8,9.45,0.892,Millet
02-2022,Coastal,Maize,18.84,25.53,88.37,6.17,Clay Loam,55.2,0.87,1.642,Maize
02-2022,Coastal,Millet,78.76,29.65,73.7,6.44,Sandy Loam,35.4,9.18,0.666,Maize
02-2022,Coastal,Beans,22.96,30.6,86.27,5.61,Sandy,25.8,5.48,0.106,Maize
02-2022,Coastal,Millet,0.0,26.17,77.5,6.95,Sandy Loam,25.1,2.0,0.05,Millet
02-2022,Coastal,Millet,15.06,26.44,82.88,5.98,Sandy,17.9,3.45,0.162,Maize
02-2022,Coastal,Maize,102.83,31.6,85.65,5.93,Sandy Loam,36.9,7.55,1.883,Maize
02-2022,Coastal,Maize,7.71,30.61,70.54,5.97,Sandy,28.3,6.93,0.991,Millet
02-2022,Coastal,Maize,172.92,25.95,88.42,4.62,Sandy,35.8,6.31,0.856,Maize
02-2022,Coastal,Beans,65.92,31.18,77.92,6.18,Clay Loam,59.8,6.96,0.729,Maize
02-2022,Coastal,Maize,26.77,28.66,70.69,5.43,Clay Loam,50.3,2.47,1.732,Maize
02-2022,Coastal,Maize,6.79,28.12,86.81,5.79,Clay Loam,72.0,4.29,0.825,Millet
02-2022,Coastal,Maize,0.0,27.27,78.61,6.28,Clay Loam,71.7,4.77,0.962,Millet
02-2022,Coastal,Beans,19.37,24.34,81.03,6.33,Sandy Loam,30.2,8.56,0.429,Maize
02-2022,Coastal,Beans,36.43,27.03,91.47,5.45,Sandy,34.7,7.77,0.641,Maize
02-2022,Coastal,Beans,75.79,27.98,81.54,6.01,Sandy Loam,51.4,2.98,1.022,Maize
02-2022,Coastal,Maize,52.29,24.88,74.63,5.67,Clay Loam,62.1,3.41,0.915,Maize
02-2022,Coastal,Beans,93.9,28.11,87.47,5.99,Clay Loam,64.5,7.14,1.133,Maize
02-2022,Coastal,Maize,8.06,29.56,74.47,6.12,Sandy,30.8,8.85,0.846,Millet
02-2022,Coastal,Beans,90.28,25.31,74.94,6.2,Sandy Loam,45.9,6.47,0.867,Maize
02-2022,Coastal,Beans,0.0,27.91,77.9,5.52,Sandy,23.3,5.22,0.05,Millet
02-2022,Coastal,Maize,70.71,30.77,70.99,6.38,Clay Loam,69.5,1.21,1.23,Maize
02-2022,Coastal,Beans,0.0,28.06,79.69,5.22,Clay Loam,66.3,8.33,0.05,Millet
02-2022,Coastal,Beans,65.71,27.84,80.32,6.14,Sandy Loam,55.5,8.26,1.011,Maize
02-2022,Coastal,Beans,14.21,25.58,70.42,6.32,Clay Loam,70.7,0.65,0.05,Maize
02-2022,Coastal,Millet,45.18,28.28,77.42,5.5,Clay Loam,65.9,6.05,0.523,Maize
02-2022,Coastal,Beans,64.34,28.2,87.78,5.55,Clay Loam,70.3,1.06,0.526,Maize
02-2022,Coastal,Millet,13.91,31.64,79.83,5.94,Sandy Loam,49.6,7.89,0.392,Millet
02-2022,Coastal,Millet,141.78,30.95,65.07,5.35,Sandy,22.5,0.86,0.526,Maize
02-2022,Coastal,Beans,69.51,30.29,69.66,6.74,Sandy Loam,36.2,1.05,0.515,Maize
02-2022,Coastal,Maize,153.75,27.06,77.67,5.78,Sandy,24.3,7.55,0.681,Maize
02-2022,Coastal,Maize,166.2,28.18,86.74,6.09,Sandy,17.7,6.33,1.439,Maize
02-2022,North Eastern,Millet,0.0,32.58,40.26,6.63,Sandy,13.2,9.48,0.05,Millet
02-2022,North Eastern,Millet,37.31,39.05,46.3,6.66,Sandy Loam,28.9,3.96,0.344,Millet
02-2022,North Eastern,Millet,12.72,36.62,33.48,6.34,Sandy Loam,30.9,6.17,0.05,Millet
02-2022,North Eastern,Millet,9.2,33.4,35.19,7.68,Sandy Loam,42.4,7.37,0.26,Millet
02-2022,North Eastern,Millet,0.0,39.31,29.46,6.53,Sandy Loam,24.4,9.96,0.05,Millet
02-2022,North Eastern,Millet,18.26,36.99,44.29,7.51,Sandy,27.3,6.54,0.05,Millet
02-2022,North Eastern,Millet,11.49,34.89,45.12,7.81,Sandy Loam,29.9,7.21,0.05,Millet
02-2022,North Eastern,Millet,25.2,27.7,25.07,6.91,Sandy,15.0,4.93,0.587,Millet
02-2022,North Eastern,Millet,21.47,32.15,42.94,7.73,Sandy Loam,42.9,1.93,0.05,Millet
02-2022,North Eastern,Millet,8.02,23.24,45.2,6.42,Sandy,29.3,8.52,0.05,Millet
02-2022,North Eastern,Millet,0.0,31.63,46.24,6.53,Sandy,7.7,9.65,0.05,Millet
02-2022,North Eastern,Millet,29.34,30.65,25.28,7.8,Sandy,21.3,4.75,0.221,Millet
02-2022,North Eastern,Millet,44.58,31.49,35.88,7.56,Sandy Loam,48.0,4.76,0.395,Millet
02-2022,North Eastern,Millet,6.44,33.16,52.88,7.11,Sandy,21.8,8.91,0.156,Millet
02-2022,North Eastern,Millet,2.12,28.95,40.71,7.64,Sandy Loam,28.7,6.2,0.247,Millet
02-2022,North Eastern,Millet,12.51,33.09,29.05,7.81,Sandy,16.4,9.2,0.05,Millet
02-2022,North Eastern,Millet,0.0,31.01,28.21,8.06,Sandy Loam,32.1,6.42,0.05,Millet
02-2022,North Eastern,Millet,30.52,33.92,37.91,7.97,Sandy Loam,38.3,9.72,0.306,Millet
02-2022,North Eastern,Millet,0.0,32.94,34.38,7.52,Sandy,12.8,7.82,0.076,Millet
02-2022,North Eastern,Millet,0.0,32.5,52.01,6.9,Sandy,18.5,5.68,0.094,Millet
02-2022,North Eastern,Millet,1.89,32.7,43.09,7.56,Sandy,17.5,0.89,0.05,Millet
02-2022,North Eastern,Millet,33.39,34.11,40.56,6.74,Sandy Loam,51.0,8.1,0.278,Millet
02-2022,North Eastern,Millet,14.12,26.51,27.31,7.35,Sandy,13.9,8.82,0.05,Millet
02-2022,North Eastern,Millet,0.0,33.98,33.09,6.64,Sandy Loam,33.9,9.6,0.05,Millet
02-2022,North Eastern,Millet,0.0,28.83,37.48,6.69,Sandy Loam,26.7,3.57,0.252,Millet
02-2022,North Eastern,Millet,9.56,31.5,50.94,6.71,Sandy Loam,41.7,7.45,0.05,Millet
02-2022,North Eastern,Millet,18.28,28.58,16.35,7.67,Sandy Loam,54.3,5.55,0.221,Millet
02-2022,North Eastern,Millet,12.39,30.2,26.22,7.36,Sandy Loam,26.0,1.18,0.205,Millet
02-2022,North Eastern,Millet,13.32,25.03,32.13,7.7,Sandy Loam,37.2,6.17,0.05,Millet
02-2022,North Eastern,Millet,0.0,31.2,36.58,7.09,Sandy,14.8,7.47,0.05,Millet
02-2022,North Eastern,Millet,14.92,32.29,45.75,7.86,Sandy,38.8,1.91,0.05,Millet
02-2022,North Eastern,Millet,0.0,27.53,41.77,7.45,Sandy,29.6,2.99,0.05,Millet
02-2022,North Eastern,Millet,0.0,29.8,36.75,6.53,Sandy Loam,30.5,0.71,0.26,Millet
03-2022,Central,Maize,108.57,19.78,68.88,6.01,Loam,47.5,5.14,1.54,Tea
03-2022,Central,Coffee,123.15,15.93,81.19,5.97,Sandy Loam,53.6,6.74,1.184,Tea
03-2022,Central,Maize,175.38,20.08,81.32,5.64,Clay Loam,85.4,1.6,1.69,Tea
03-2022,Central,Maize,116.06,19.82,79.77,5.99,Loam,62.3,1.2,1.374,Tea
03-2022,Central,Coffee,128.75,14.8,62.81,6.39,Loam,38.7,6.84,1.178,Tea
03-2022,Central,Beans,166.32,19.42,77.43,6.48,Loam,67.5,1.7,1.138,Tea
03-2022,Central,Maize,129.81,18.49,63.89,5.8,Clay Loam,69.4,2.89,2.032,Tea
03-2022,Central,Potatoes,135.63,18.3,57.67,5.75,Sandy Loam,31.1,2.41,4.284,Tea
03-2022,Central,Tea,162.33,20.44,69.36,6.31,Sandy Loam,38.6,4.54,2.338,Tea
03-2022,Central,Potatoes,118.53,16.47,65.32,6.05,Clay Loam,70.6,2.91,4.61,Tea
03-2022,Central,Beans,153.45,14.85,84.93,5.53,Sandy Loam,35.4,3.95,0.875,Tea
03-2022,Central,Beans,122.56,15.49,68.78,5.9,Loam,58.6,5.69,1.05,Tea
03-2022,Central,Tea,125.0,21.71,71.39,6.2,Clay Loam,80.1,7.86,1.383,Tea
03-2022,Central,Potatoes,184.11,21.31,75.25,6.44,Clay Loam,98.7,9.0,4.667,Tea
03-2022,Central,Coffee,91.16,19.93,67.17,6.38,Loam,49.0,0.98,0.652,Tea
03-2022,Central,Tea,105.97,17.72,59.81,6.19,Sandy Loam,33.1,4.59,2.958,Tea
03-2022,Central,Beans,90.65,17.77,80.81,6.19,Clay Loam,70.0,8.6,0.753,Tea
03-2022,Central,Maize,122.22,14.38,69.5,6.33,Clay Loam,64.6,7.51,0.974,Tea
03-2022,Central,Maize,155.88,19.59,69.73,6.66,Loam,63.5,4.99,1.061,Tea
03-2022,Central,Tea,109.71,16.03,75.9,6.41,Sandy Loam,40.2,4.54,1.378,Tea
03-2022,Central,Tea,178.08,17.27,75.91,6.41,Sandy Loam,48.7,7.45,2.68,Tea
03-2022,Central,Tea,159.06,17.67,73.49,6.25,Clay Loam,83.5,9.62,2.516,Tea
03-2022,Central,Maize,123.02,18.73,73.74,6.42,Loam,52.6,4.39,0.822,Tea
03-2022,Central,Maize,109.84,14.52,69.02,5.35,Loam,57.2,8.95,0.835,Tea
03-2022,Central,Potatoes,128.76,11.3,84.23,6.01,Clay Loam,76.6,1.52,5.002,Tea
03-2022,Central,Maize,163.76,13.92,76.51,6.38,Clay Loam,78.9,9.24,0.937,Tea
03-2022,Central,Coffee,99.4,15.53,77.07,5.98,Clay Loam,72.8,9.96,1.134,Tea
03-2022,Central,Tea,149.05,21.97,64.41,5.76,Sandy Loam,43.7,8.03,1.806,Tea
03-2022,Central,Maize,147.51,15.23,70.1,6.6,Sandy Loam,45.5,1.61,1.767,Tea
03-2022,Central,Maize,160.27,15.93,79.06,6.14,Sandy Loam,37.8,1.73,1.478,Tea
03-2022,Central,Maize,94.2,12.63,78.73,6.4,Clay Loam,64.2,2.38,1.245,Tea
03-2022,Central,Beans,94.89,14.03,83.18,5.69,Sandy Loam,35.8,5.94,1.17,Tea
03-2022,Central,Beans,142.71,19.51,65.54,6.5,Loam,55.7,1.58,0.92,Tea
03-2022,Rift Valley,Tea,122.36,23.81,68.99,5.78,Loam,65.2,9.34,2.035,Tea
03-2022,Rift Valley,Wheat,96.27,16.37,47.39,5.88,Sandy Loam,37.8,8.23,1.211,Tea
03-2022,Rift Valley,Wheat,135.17,19.54,67.89,6.4,Volcanic,52.5,7.16,1.297,Tea
03-2022,Rift Valley,Potatoes,118.37,20.69,72.44,6.77,Clay Loam,52.3,8.19,3.046,Tea
03-2022,Rift Valley,Beans,89.39,16.76,58.72,6.49,Loam,48.4,2.92,1.156,Tea
03-2022,Rift Valley,Wheat,64.64,20.6,75.69,6.32,Sandy Loam,55.2,9.57,1.988,Tea
03-2022,Rift Valley,Beans,106.63,17.45,49.21,5.94,Clay Loam,64.1,10.0,1.097,Tea
03-2022,Rift Valley,Maize,91.77,21.37,66.04,6.35,Clay Loam,55.6,3.93,0.791,Tea
03-2022,Rift Valley,Potatoes,161.63,17.18,72.88,5.81,Sandy Loam,51.9,9.71,4.436,Tea
03-2022,Rift Valley,Maize,149.89,25.0,69.9,5.94,Loam,47.8,6.93,1.58,Tea
03-2022,Rift Valley,Maize,113.86,18.93,81.96,5.51,Volcanic,68.6,5.05,2.036,Tea
03-2022,Rift Valley,Maize,133.84,20.76,60.88,5.42,Volcanic,46.8,7.77,1.777,Tea
03-2022,Rift Valley,Wheat,121.45,14.81,74.97,5.7,Volcanic,52.5,5.3,1.059,Tea
03-2022,Rift Valley,Beans,179.17,26.81,57.22,5.92,Volcanic,57.5,4.45,0.902,Tea
03-2022,Rift Valley,Wheat,140.07,19.14,68.75,5.93,Sandy Loam,38.8,4.61,1.969,Tea
03-2022,Rift Valley,Beans,169.24,17.22,64.96,6.54,Clay Loam,75.8,4.49,1.067,Tea
03-2022,Rift Valley,Wheat,128.93,20.78,59.92,6.37,Loam,54.7,6.38,1.286,Tea
03-2022,Rift Valley,Maize,108.8,24.76,60.92,7.18,Sandy Loam,34.0,1.87,1.214,Tea
03-2022,Rift Valley,Maize,160.39,18.81,39.99,6.32,Clay Loam,68.8,6.39,1.181,Tea
03-2022,Rift Valley,Wheat,114.57,24.56,50.29,6.17,Clay Loam,55.4,3.95,0.877,Tea
03-2022,Rift Valley,Beans,79.44,17.78,63.11,6.71,Loam,63.8,0.73,0.812,Tea
03-2022,Rift Valley,Millet,67.92,23.35,57.63,5.9,Clay Loam,59.7,1.79,0.905,Tea
03-2022,Rift Valley,Maize,185.98,24.49,59.6,5.84,Sandy Loam,52.2,0.92,1.095,Tea
03-2022,Rift Valley,Potatoes,108.22,20.36,54.14,5.77,Clay Loam,79.0,6.1,4.667,Tea
03-2022,Rift Valley,Maize,152.33,17.6,64.29,6.08,Loam,41.3,8.66,1.852,Tea
03-2022,Rift Valley,Wheat,111.2,21.71,79.33,7.49,Volcanic,53.3,1.22,1.299,Tea
03-2022,Rift Valley,Millet,111.61,18.31,79.13,6.48,Clay Loam,73.7,5.02,0.306,Tea
03-2022,Rift Valley,Maize,48.04,20.94,67.81,5.89,Sandy Loam,24.4,2.06,1.387,Tea
03-2022,Rift Valley,Wheat,131.98,21.93,51.37,6.04,Clay Loam,67.1,8.69,1.75,Tea
03-2022,Rift Valley,Wheat,117.37,19.12,51.32,5.7,Sandy Loam,46.2,8.18,1.851,Tea
03-2022,Rift Valley,Beans,36.8,23.35,62.31,5.72,Sandy Loam,28.9,0.67,0.809,Tea
03-2022,Rift Valley,Millet,106.98,22.17,77.9,5.96,Loam,56.6,3.03,0.674,Tea
03-2022,Rift Valley,Wheat,77.3,22.97,60.5,6.19,Clay Loam,55.7,3.91,1.871,Tea
03-2022,Nyanza,Maize,164.94,18.71,74.65,6.8,Sandy Loam,65.4,6.35,1.718,Maize
03-2022,Nyanza,Maize,110.88,19.88,69.7,6.06,Clay Loam,84.1,9.42,1.887,Maize
03-2022,Nyanza,Maize,152.74,23.32,77.93,5.5,Clay,80.7,6.83,1.741,Maize
03-2022,Nyanza,Maize,165.78,21.68,71.28,5.14,Clay,96.0,6.0,0.927,Maize
03-2022,Nyanza,Maize,158.31,20.03,76.48,6.0,Sandy Loam,52.3,7.19,1.408,Maize
03-2022,Nyanza,Maize,173.07,21.62,72.51,6.17,Sandy Loam,44.8,1.32,1.482,Maize
03-2022,Nyanza,Maize,124.54,27.62,81.19,5.49,Clay,75.0,4.15,1.526,Maize
03-2022,Nyanza,Beans,156.37,23.45,59.51,6.66,Clay,97.4,6.96,0.865,Maize
03-2022,Nyanza,Beans,164.47,21.41,72.55,5.36,Clay,83.7,3.96,0.741,Maize
03-2022,Nyanza,Beans,163.76,23.84,61.36,5.13,Clay,78.1,7.62,0.744,Maize
03-2022,Nyanza,Beans,124.82,20.82,86.28,5.84,Clay,86.4,8.78,1.11,Maize
03-2022,Nyanza,Maize,144.14,21.3,72.95,5.29,Clay,90.0,8.06,2.018,Maize
